id,SMILES,Rg
87817,*CC(*)c1ccccc1C(=O)OCCCCCC,11.949874877929688
106919,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,14.732513427734377
388772,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,20.815540313720703
519416,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,16.54195213317871
539187,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,20.309017181396484
950661,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,15.720243453979492
1012066,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,19.26299285888672
1022104,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,23.661319732666016
1722264,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,12.16179656982422
2265305,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,21.030153274536133
2986007,*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,28.6824407
3013292,*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,13.53424751
3053950,*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,19.68651772
3128201,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,23.870704650878903
3139746,*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,21.4348259
3254580,*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,17.483604431152344
4600132,*Nc1ccc(-c2ccc(N*)cc2)cc1,21.122520446777344
4658296,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,23.33177757263184
4834929,*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,16.93512725830078
5118841,*C(=O)c1ccc(N(*)CCCCCCCC)cc1,17.937963485717773
5350166,*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,15.279420852661133
5650517,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,17.012802124023438
5661484,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,20.14707374572754
5709902,*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,21.860671997070312
5724071,*NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(*)n3)cc2)cc1,18.166194915771484
5857263,*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,20.189781188964844
5905810,*Cc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)N*)c(C)c1C,14.218460083007812
5966923,*c1cc(CCOC(=O)NCCCC)c(*)s1,18.02951431274414
6019988,*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,16.92232894897461
6102563,*C(=O)OCCOCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,20.88355827331543
6259923,*NC1=C(c2ccc(O)cc2OC)[C@@H](N*)c2c(N)ccc(N)c21,18.703845977783203
6645418,*CCCCCNC(=O)CCCCC(=O)N*,21.216453552246094
6665789,*Nc1cccc(C=Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)c1,16.791034698486328
7586800,*C(=O)Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(-c7sc(-c8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)c(-c8ccccc8)c7-c7ccccc7)cc5)C6=O)cc4)cc3)cc2)cc1,22.44753837585449
7687820,*CCCCCCCCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)N*,20.94523048400879
8689461,*CC(*)CCCCCCCCCCCCCCCC,12.627055168151855
8973725,*CC(*)CC(C)(C)CC,12.960719108581545
