id,SMILES,Tg,Tg_prediction,Tg_filled
87817,*CC(*)c1ccccc1C(=O)OCCCCCC,,14.82628959165595,14.82628959165595
106919,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,,73.15131328055213,73.15131328055213
388772,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,,187.46298217824005,187.46298217824005
519416,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,,222.85703549133905,222.85703549133905
539187,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,,18.746339570854616,18.746339570854616
950661,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,,11.937878758599254,11.937878758599254
1012066,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,,146.40436987828252,146.40436987828252
1022104,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,,235.2195669307912,235.2195669307912
1722264,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,,27.203472609566237,27.203472609566237
2265305,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,,165.12670458606226,165.12670458606226
2986007,*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,,74.36352977073693,74.36352977073693
3013292,*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,,107.4131683886385,107.4131683886385
3053950,*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,,251.41958872110263,251.41958872110263
3128201,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,,244.7499482542844,244.7499482542844
3139746,*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,,26.860235861007823,26.860235861007823
3254580,*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,,122.12133100755456,122.12133100755456
4600132,*Nc1ccc(-c2ccc(N*)cc2)cc1,,145.2533472513369,145.2533472513369
4658296,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,,308.5589435046349,308.5589435046349
4834929,*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,,221.69360606905684,221.69360606905684
5118841,*C(=O)c1ccc(N(*)CCCCCCCC)cc1,,12.24838468739108,12.24838468739108
5350166,*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,,14.11160172464588,14.11160172464588
5650517,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,,60.89172934249109,60.89172934249109
5661484,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,,179.65864416891418,179.65864416891418
5709902,*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,,25.268530046942036,25.268530046942036
